hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,TX,NAVARRO,75110
1,Same as the national average,Above the national average,Below the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,TX,EASTLAND,76448
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,WI,MILWAUKEE,53226
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,GRAYS HARBOR,98520
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,UT,SALT LAKE,84094
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,MIDDLESEX,8901
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,CA,TULARE,93274
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,ALAMEDA,94588
1,Not Available,Same as the national average,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,CO,GUNNISON,81230
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,KS,GREENWOOD,67045
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,ST JOSEPH,46545
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Critical Access Hospitals,MI,DELTA,49829
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,MO,JOHNSON,64093
1,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,Government - Local,Critical Access Hospitals,NE,THAYER,68370
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NE,BURT,68045
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,WASHINGTON,15317
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,PA,MONTGOMERY,19046
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,MIFFLIN,17044
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,TRAVIS,78705
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,UT,JUAB,84648
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,WI,CHIPPEWA,54768
1,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,UT,CACHE,84341
1,Not Available,Not Available,Below the national average,Same as the national average,Not Available,Government - Local,Acute Care Hospitals,AL,HALE,36744
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,CO,TELLER,80863
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,GA,HABERSHAM,30535
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,ADAMS,62301
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NE,SALINE,68333
1,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,PR,PONCE,717
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TN,UNICOI,37650
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,CO,GRAND,80459
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,SANTA BARBARA,93102
